review_id,user_name,review_text,rating,thumbs_up_count,review_created_version,app_version,review_date,developer_reply,developer_reply_date,brand,platform,lang_param,country_param,scraped_at
dad9e24f-c69b-4f18-acc0-0569e155e5f0,Puru Kumar,Terribly awful app. It increases the latency for this new stupid complex design and you will lose your winning position games.,1,0,,,2026-04-06 23:13:57,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
e0d76ddc-6ea8-4de8-b19d-60702d827c56,Joven James Torrejos,This is the best chess mobile app I used for a long time now. It really helps me improve my skills. I want to suggest a feature though. Can you put a pairing tournament system offline where I could make a mini tournament among my peers. It would be complete total tool package if this happens. Thank lichess,5,1,0.22.7,0.22.7,2026-04-06 20:40:10,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
d60c8dd8-e282-43e9-a393-8ab8ece53556,Lukas,"Unable or unwilling to provide a way to contact them. If you click on “Contact” (good one), you have to wade through countless questions until you reach a page where—ta-da—you're just redirected to some servers and forums. Contact options under “Contact”: zero. A classic rip-off these days. Stay away; there are reputable alternatives.",1,0,,,2026-04-06 17:39:35,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
b6d80629-40e8-4640-8afb-71e257c302a5,Anita Kumari,Really fun!!!,5,0,,,2026-04-06 17:09:48,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
74e3eb65-9d9c-4ce2-a1a6-9ac6ee88ba9f,Darren Alexander,"free, no subscriptions and an amazing puzzle mix and difficulty. Surely, this needs to be more popular.",5,0,,,2026-04-06 16:55:50,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
0fce0ab2-f602-46e2-8d80-0e9a46a767cd,Omkar Gaikwad,"very poor broadcasting and hence I'm not going to watch tournaments on this app because it shows matches or rounds played by players instead of their score or result, Eg in Grenke Chess Festival 2026",1,7,0.22.7,0.22.7,2026-04-06 15:45:54,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
a26afefe-e15e-4020-a500-99ead8d76754,REMA K,it is the best app for studying and playing chess for free.,5,0,0.22.7,0.22.7,2026-04-06 15:35:31,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
2a47a06b-5fcb-4472-8b00-ef80dea33f25,M J,Some of the puzzles literally make zero sense,1,0,,,2026-04-06 14:21:16,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
5ab918a3-61b5-46d8-9b25-5cddbfbdd3d1,Miroslav Kovačević,i wold realy like to see more options for customization of start screen,4,0,0.18.2,0.18.2,2026-04-06 02:08:57,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
6c3d88ce-9100-43d5-af0c-0e83c214194b,Dominic Appiah,"I wish there was a ""Takeback"" engine that could allow for genuine cases of misclicks instead of opponents disingenuously refusing it.",4,0,0.22.7,0.22.7,2026-04-05 22:06:11,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
