dataset_type,brand,theme,theme_es,n_reviews,average_rating,median_rating,pct_1_2_star,pct_4_5_star,helpful_votes_mean,n_reviews_total_brand,share_of_reviews
comparable_final_3000,Chess.com,account_access,Cuenta y acceso,33,2.0303030303030303,1.0,0.696969696969697,0.24242424242424243,0.5454545454545454,1500,0.022
comparable_final_3000,Chess.com,ads_pricing_premium,"Anuncios, precio y premium",71,3.3098591549295775,4.0,0.352112676056338,0.5915492957746479,4.211267605633803,1500,0.04733333333333333
comparable_final_3000,Chess.com,analysis_tools,Análisis y herramientas,30,3.7666666666666666,4.0,0.2,0.7,2.7666666666666666,1500,0.02
comparable_final_3000,Chess.com,community_tournaments_social,"Comunidad, torneos y social",49,3.9183673469387754,5.0,0.20408163265306123,0.7346938775510204,0.3877551020408163,1500,0.03266666666666666
comparable_final_3000,Chess.com,developer_support,Soporte y respuesta del desarrollador,18,2.3333333333333335,1.5,0.6666666666666666,0.2777777777777778,2.611111111111111,1500,0.012
comparable_final_3000,Chess.com,fair_play_moderation,"Fair play, trampas y moderación",36,1.5,1.0,0.8888888888888888,0.08333333333333333,1.1666666666666667,1500,0.024
comparable_final_3000,Chess.com,gameplay_matchmaking,Jugabilidad y emparejamiento,96,3.2083333333333335,4.0,0.3958333333333333,0.53125,2.5520833333333335,1500,0.064
comparable_final_3000,Chess.com,interface_usability,Interfaz y usabilidad,27,3.6296296296296298,4.0,0.25925925925925924,0.7407407407407407,0.18518518518518517,1500,0.018
comparable_final_3000,Chess.com,performance_stability,"Rendimiento, estabilidad y fallos",46,2.0434782608695654,1.0,0.6739130434782609,0.2391304347826087,0.6304347826086957,1500,0.030666666666666665
comparable_final_3000,Chess.com,puzzles_learning,Puzles y aprendizaje,152,4.197368421052632,5.0,0.13815789473684212,0.8092105263157895,2.0526315789473686,1500,0.10133333333333333
comparable_final_3000,Chess.com,updates_version_changes,Actualizaciones y cambios de versión,23,3.260869565217391,3.0,0.30434782608695654,0.4782608695652174,0.6086956521739131,1500,0.015333333333333332
comparable_final_3000,Lichess,account_access,Cuenta y acceso,92,1.9130434782608696,1.0,0.75,0.15217391304347827,3.1956521739130435,1500,0.06133333333333333
comparable_final_3000,Lichess,ads_pricing_premium,"Anuncios, precio y premium",52,4.711538461538462,5.0,0.038461538461538464,0.9230769230769231,8.403846153846153,1500,0.034666666666666665
